Province_id,Province_name,Year,Pop,Pop_den,Literate,Trained,GDPpc,Real_gdp_pc,Real_grdp,Agri,Indus,Service,tax_rev,cus_rev,Total_in,Domestic_in,FDI_in,Dom_in_rate,Registered_FDI,Nonpublic_wage,FDI_eachyear,Total_internet,Total_phones,Market_cost,Land_cost,Time_cost,Unofficial_cost,Proactive_leadership,Business_support,Legal_quality,Accum_FDI_pro,Accum_FDI,FDI_Projects,FDI_regis,Net-migration
44,Quang Binh,2015,875.6,0.1,97.1,20,31,20.9,18280,3921,4039,9620,700,190000,10096,,,1,1,4886,5625,73593,,8.6,8.6,8.5,8.5,8.5,8.5,8.5,12,109.1,2,16.6,
44,Quang Binh,2016,880.6,0.1,97,20.2,33,21.9,19299,3960,4464,10135,739,128000,11542,,189,1,24,4866,8883,65879,,8.7,5.6,6.3,4.7,5,5.2,6.2,17,381,3,-7.4,
44,Quang Binh,2017,885.7,0.1,97.5,23.6,35.7,23.3,20657,4231,4846,10809,769,130000,12282,,64,1,60,5044,12374,73822,,8.2,6.1,6.2,5.2,5.7,6.5,5.6,19,537.8,3,120.9,
44,Quang Binh,2018,891.1,0.1,97.5,27,39.7,24.9,22172,4417,5397,11554,802,201000,13002,,205,1,17,5324,12215,95822,,7.7,6.1,6.3,4.5,5.3,6.1,5.7,21,766.8,2,31.7,
44,Quang Binh,2019,896.6,0.1,97.7,24.9,43.7,26.5,23799,4585,5989,12374,849,214000,14213,,222,1,,,,103586,,8,6.5,6.9,6.2,6.4,5.9,6.3,20,766.6,0,0.8,
45,Quang Tri,2015,617.9,0.1,92.2,22,34.9,23.5,14541,3594,3033,7225,690,774075,7339,,77,1,4,2430,3201,38390,,8.7,8.6,8.6,8.6,8.6,8.6,8.6,21,85.6,1,0.9,
45,Quang Tri,2016,621.6,0.1,92.7,22.6,37.5,24.9,15471,3630,3323,7818,699,304832,7935,,73,1,9,4336,6296,47456,,9,6.3,6.7,4.8,5,4.5,5.8,17,77.5,1,4,
45,Quang Tri,2017,625.4,0.1,93.2,23.7,41,26.5,16562,3757,3678,8362,766,270115,8471,,104,1,.,4915,7245,63061,,8,6.1,6.3,4.2,5.1,5.8,5.4,16,60.5,0,4,
45,Quang Tri,2018,629.7,0.1,93.3,25.6,45.5,28.2,17762,3952,4040,8963,806,303766,9315,,144,1,.,5358,5553,72979,,7.5,7,6.8,5.6,6.1,5.7,6.2,17,63.6,0,0.7,
45,Quang Tri,2019,633.4,0.1,93.4,25.9,50,30.3,19167,4154,4601,9532,880,473837,11056,,190,1,2404,5428,6675,82310,,7.2,7.4,6.7,6.4,5.8,4.9,6.1,19,85,1,20,
46,Thua Thien Hue,2015,1114.7,0.2,92.6,23.9,31.2,21.3,23735,3651,6628,11532,1923,308400,12060,,897,0.9,452,4371,4429,89912,,8.7,8.7,8.7,8.6,8.6,8.6,8.6,86,2591.2,8,140.5,
46,Thua Thien Hue,2016,1118,0.2,93.2,24.1,34.1,22.7,25380,3525,7372,12284,2198,407800,13101,,1055,0.9,75,4685,4047,92722,,8.6,6.1,6.3,5.5,3.9,6,5.3,95,2377.4,10,78.5,
46,Thua Thien Hue,2017,1123.4,0.2,93.3,24.3,38.4,24.4,27390,3659,8332,13073,2325,410300,13798,,649,1,49,5427,4900,98351,,7.9,6.5,6.4,5.7,5.8,5.7,6,99,2382.3,5,6.7,
46,Thua Thien Hue,2018,1125.5,0.2,92.2,24.2,42.5,26,29230,3805,8983,13999,2442,548500,13979,,648,1,1163,5538,5344,110831,,8.5,7.1,5.9,5.9,5.3,5.9,6.9,102,3535.9,8,1263.9,
46,Thua Thien Hue,2019,1129.5,0.2,94,24.7,46.8,27.8,31354,3648,9989,15066,2649,480400,15302,,815,0.9,312,,,147873,,7.1,6.7,6.6,6.4,6.6,6,7,116,3856.2,14,324.5,
48,Da Nang,2015,1056.3,0.8,97.5,41.73,69.9,48.9,51614,1064,12304,32520,5726,2414000,25391,,1902,0.9,95,4430,5326,148892,,9.2,9.2,9,8.9,8.8,8.8,8.8,373,4023.5,59,44.3,
48,Da Nang,2016,1080.3,0.8,98,41.14,74.5,51.9,56032,1096,13046,35663,6227,3615000,26452,,1735,0.9,77,5676,5800,220703,,9.2,6.3,7.7,6.5,7.1,6,6.5,450,43398.8,76,107.8,
48,Da Nang,2017,1097.8,0.9,98,40.93,82,54.6,59989,1153,14064,37831,6941,2465000,27563,,2488,0.9,155,5942,6551,201573,,8.6,7.1,7.8,6.3,6.7,6.9,6.7,526,4675.3,68,143.9,
48,Da Nang,2018,1114.4,0.9,97.9,42.5,91,58.2,64889,1179,14825,41421,7464,3113000,27102,,2922,0.9,286,6569,7504,243576,,7.9,7.2,7.3,6.5,6,6.3,6.7,639,3535.9,106,318.4,
48,Da Nang,2019,1141.1,0.9,98.7,44.58,97.1,60.5,69056,1212,15476,44499,7869,3361000,27171,,3967,0.9,438,6816,8761,245059,,7.9,7.4,7.1,6.8,6.8,6.8,7,775,5534.9,132,515.2,
49,Quang Nam,2015,1468.2,0.1,94.8,15.8,41.5,32.1,47121,5980,18367,14325,8449,4912000,15890,,1036,0.9,212,4141,5412,67400,,8.5,8.5,8.5,8.5,8.4,8.4,8.4,136,5525.8,18,256.2,
49,Quang Nam,2016,1475.8,0.1,95.3,17.3,52,40.6,59950,6205,24188,18455,11102,6030000,16507,,3391,0.8,137,5483,4212,102600,,8.8,6,7.2,5.5,5.6,5.7,6.3,151,5763.8,18,152.6,
49,Quang Nam,2017,1483.3,0.1,95.7,19.6,56.3,42.5,63003,6420,24854,19832,11897,5279000,17534,,3792,0.8,94,5134,4911,157100,,8.2,6.7,6.7,5.5,6.6,6.4,7,170,5816.3,21,140.1,
49,Quang Nam,2018,1490.8,0.1,95,21.4,61.5,45.7,68138,6694,28147,21073,12224,4370000,19827,,3873,0.8,326,5901,5171,159900,,7.6,6.7,6.8,6.4,6.2,7,6.5,190,6037.2,30,479.8,
49,Quang Nam,2019,1497.5,0.1,96.2,22.4,66.3,47.2,70734,6804,29165,22138,12627,3309000,22811,,5451,0.8,157,6540,5644,232500,,7.2,7.5,7.2,6.5,7.3,6.8,7.7,218,6126.5,26,184.2,
51,Quang Ngai,2015,1241.6,0.2,96.7,35.2,91.7,43.2,53582,5524,38003,24096,10055,14514317,38868,,8632,0.8,366,4088,7728,152900,,7.8,7.8,7.6,7.6,"Ti?p c?n 
??t ?ai",7.8,7.1,47,4274.5,6,24.1,
51,Quang Ngai,2016,1261.2,0.2,96.8,35.3,100.9,46.3,58348,5779,41784,27232,10785,12753347,42623,,8891,0.8,559,3648,7682,69400,,8.3,5.4,6.5,4.8,4,5.3,5.7,40,1097.5,9,22,
51,Quang Ngai,2017,1285.2,0.2,97.2,37.2,111.3,49.6,63781,6032,44971,30465,12777,10946129,46697,,2458,0.9,101,5588,7154,56606,,7.7,6.3,6.2,5.6,5.3,6.7,6.4,46,1449.6,7,374.6,
51,Quang Ngai,2018,1303.9,0.2,96.8,39.8,127.5,54.2,70679,6317,49986,34405,14376,7799287,50880,,3666,0.9,386,6399,7497,45930,,6.8,6.6,7.2,6,5.3,6.2,5.8,60,1755.9,15,375.4,
51,Quang Ngai,2019,1324.8,0.2,99,43,143.2,59.6,78974,6345,57133,38517,15496,9345369,56108,,4173,0.9,171,6416,7957,38227,,8.2,6.7,6.6,5.9,5.9,6.2,6.5,61,1844.7,4,136.6,
52,Binh Dinh,2015,1487.6,0.2,96.1,15.5,37.6,24.7,36754,11222,9186,14784,1562,906000,17157,,602,1,62,3894,6620,76792,,9,8.9,8.8,8.8,8.8,8.8,8.7,59,1761.8,7,58.4,
52,Binh Dinh,2016,1487.7,0.2,96.7,16.7,41.1,26.3,39190,11734,10048,15774,1635,444500,19753,,570,1,84,4801,7431,92796,,8.7,6,6.6,5.4,5.5,5.2,6.2,66,541.7,11,90,
52,Binh Dinh,2017,1487.7,0.2,97,16.9,45,28.1,41823,12125,11087,16847,1764,532200,21462,,328,1,117,4766,7871,124088,,7.8,6.8,6.5,6.5,6.3,5.8,6.3,73,671.8,9,149.6,
52,Binh Dinh,2018,1487.8,0.2,96.3,17.4,50.2,30.2,44878,12857,12053,17999,1969,613300,23609,,636,1,135,5213,7032,157455,,6.9,7.1,7.4,5.7,5.5,6.2,6.7,81,806.3,9,157.2,
52,Binh Dinh,2019,1487.8,0.2,97.2,19.2,55.4,32.2,47957,13311,13141,19339,2166,687100,27171,,852,1,80,5334,7724,184241,,8,7.2,6.6,7.1,6.8,5.6,6.8,87,802.5,7,96.6,
54,Phu Yen,2015,866.2,0.2,92.9,16.6,33.1,22.3,19282,5384,4721,8129,1046,73545,6971,,694,0.9,41,3751,5822,49429,,8.7,8.7,8.7,8.7,8.7,8.7,8.7,52,4764.9,4,40,
54,Phu Yen,2016,868.1,0.2,93.7,16.9,36.2,23.9,20736,5670,5152,8846,1066,36097,7855,,176,1,59,4405,6058,64114,,9,5.4,6.9,5.9,4.2,5,4.1,41,4967.1,2,562.4,
54,Phu Yen,2017,870,0.2,93.8,18,40.1,25.5,22196,5812,5709,9553,1121,49304,9302,,240,1,2,4610,4386,85151,,8.1,5.7,6.3,5.3,4.8,6.6,5.2,44,4969,3,2.6,
54,Phu Yen,2018,871.5,0.2,93.2,14.7,44,27.3,23749,6146,6235,10157,1209,56526,10085,,199,1,7,5357,4164,105229,,8.5,6.4,7.4,5.5,5.2,6.2,6.2,47,1773.2,5,15.6,
54,Phu Yen,2019,873.2,0.2,94.7,16.2,49.3,29.6,25881,6347,7413,10770,1351,578823,13066,,492,1,.,5196,5907,119866,,8.6,6.3,6.9,6.2,5.5,6.7,5.3,47,1989.4,1,216.6,
56,Khanh Hoa,2015,1198.4,0.2,94.8,24.6,47.4,32.5,38902,5024,10095,19274,4509,3499133,,,,,1124,4849,6033,112546,,8,8,7.9,7.9,7.9,7.8,7.8,95,2349.4,6,55.7,
56,Khanh Hoa,2016,1207.2,0.2,95.1,25.2,51.8,34.8,42000,5163,10952,21251,4634,5837102,24047,,550,1,1192,4935,6286,135821,,8.3,4.9,6.6,4.8,4.3,5.9,5.5,94,966.1,8,69.6,
56,Khanh Hoa,2017,1216.3,0.2,95.1,18.7,57.9,37.3,45322,5269,11917,23320,4815,6440572,26786,,520,1,1168,5744,7311,148403,,8.1,6.5,6.2,5.6,5.2,6.9,5.5,99,4175.1,4,2626.4,
56,Khanh Hoa,2018,1224.5,0.2,95.1,18.7,63.9,39.8,48738,5233,12972,25334,5199,6804299,28908,,667,1,3821,6779,7816,181349,,7.4,5.8,7,6.2,5.8,7.1,6,107,4243,7,95.3,
56,Khanh Hoa,2019,1232.8,0.2,96.2,22.8,69.9,42.4,52297,5312,14341,27209,5435,3365486,31122,,678,1,3760,,,241326,,6.2,7.1,7.1,6.5,5.9,6.4,6,113,4298.5,8,202.3,
58,Ninh Thuan,2015,578.3,0.2,87.1,15.6,32.3,21.6,12472,4409,2216,4835,1010,169150,4921,,58,1,1,4333,12210,65018,,8.6,8.6,8.6,8.6,8.5,8.5,8.5,34,949.6,1,0.6,
58,Ninh Thuan,2016,581.5,0.2,87.5,15.8,34.7,22.8,13256,4556,2384,5259,1056,10730,4902,,36,1,68,4709,12447,69912,,8.6,6.1,6.9,5,5,4.9,5.6,37,1036.8,3,88.3,
58,Ninh Thuan,2017,585.4,0.2,87.6,15.1,39.3,24.9,14577,5307,2525,5682,1061,24550,4712,,143,1,274,4911,17814,74772,,7.8,6.2,7.1,5.2,5.9,6,6,40,1302.5,3,2626.4,
58,Ninh Thuan,2018,588.9,0.2,86.8,19.1,43.7,26.6,15657,5565,2900,6063,1128,496890,9725,,1368,0.9,316,5240,12729,80400,,6.4,6.8,7.2,6.1,5.4,6.3,6,49,1693.1,9,404.7,
58,Ninh Thuan,2019,591,0.2,87.9,18.9,51.1,30,17731,5899,4056,6478,1297,1369960,16732,,2770,0.8,77,5782,10973,82009,,7.6,6.6,7.5,6.4,6.6,6.3,6.2,52,1710.8,4,133.7,
